farm,IDREC,distance,numStates,AR,conteoArea,areaNorm
C,1,295.4552592776297,77,1,68,0.8831168831168831
C,2,227.53866976575696,70,1,59,0.8428571428571429
C,3,477.68208682959386,115,1,100,0.8695652173913043
C,4,314.8283264899927,63,1,60,0.9523809523809523
C,5,403.2963981689035,97,1,86,0.8865979381443299
C,6,407.18856291641555,88,1,85,0.9659090909090909
O,1,586.0233579075764,100,1,99,0.99
O,2,724.2644305426512,80,1,77,0.9625
O,3,548.9752911610809,107,1,94,0.8785046728971962
O,4,372.295229402804,76,1,69,0.9078947368421053
O,5,489.5590726591017,104,1,91,0.875
O,6,990.5693345520297,158,1,137,0.8670886075949367
C,1,295.4552592776297,77,2.5,54,0.7012987012987013
C,2,227.53866976575696,70,2.5,52,0.7428571428571429
C,3,477.68208682959386,115,2.5,73,0.6347826086956522
C,4,314.8283264899927,63,2.5,50,0.7936507936507936
C,5,403.2963981689035,97,2.5,63,0.6494845360824743
C,6,407.18856291641555,88,2.5,76,0.8636363636363636
O,1,586.0233579075764,100,2.5,94,0.94
O,2,724.2644305426512,80,2.5,69,0.8625
O,3,548.9752911610809,107,2.5,80,0.7476635514018691
O,4,372.295229402804,76,2.5,62,0.8157894736842105
O,5,489.5590726591017,104,2.5,75,0.7211538461538461
O,6,990.5693345520297,158,2.5,108,0.6835443037974683
C,1,295.4552592776297,77,5,34,0.44155844155844154
C,2,227.53866976575696,70,5,22,0.3142857142857143
C,3,477.68208682959386,115,5,40,0.34782608695652173
C,4,314.8283264899927,63,5,32,0.5079365079365079
C,5,403.2963981689035,97,5,34,0.35051546391752575
C,6,407.18856291641555,88,5,49,0.5568181818181818
O,1,586.0233579075764,100,5,67,0.67
O,2,724.2644305426512,80,5,53,0.6625
O,3,548.9752911610809,107,5,49,0.45794392523364486
O,4,372.295229402804,76,5,48,0.631578947368421
O,5,489.5590726591017,104,5,40,0.38461538461538464
O,6,990.5693345520297,158,5,68,0.43037974683544306
C,1,295.4552592776297,77,10,17,0.22077922077922077
C,2,227.53866976575696,70,10,12,0.17142857142857143
C,3,477.68208682959386,115,10,16,0.1391304347826087
C,4,314.8283264899927,63,10,18,0.2857142857142857
C,5,403.2963981689035,97,10,13,0.13402061855670103
C,6,407.18856291641555,88,10,23,0.26136363636363635
O,1,586.0233579075764,100,10,41,0.41
O,2,724.2644305426512,80,10,24,0.3
O,3,548.9752911610809,107,10,21,0.19626168224299065
O,4,372.295229402804,76,10,22,0.2894736842105263
O,5,489.5590726591017,104,10,21,0.20192307692307693
O,6,990.5693345520297,158,10,35,0.22151898734177214
C,1,295.4552592776297,77,20,7,0.09090909090909091
C,2,227.53866976575696,70,20,5,0.07142857142857142
C,3,477.68208682959386,115,20,6,0.05217391304347826
C,4,314.8283264899927,63,20,7,0.1111111111111111
C,5,403.2963981689035,97,20,7,0.07216494845360824
C,6,407.18856291641555,88,20,12,0.13636363636363635
O,1,586.0233579075764,100,20,21,0.21
O,2,724.2644305426512,80,20,12,0.15
O,3,548.9752911610809,107,20,8,0.07476635514018691
O,4,372.295229402804,76,20,10,0.13157894736842105
O,5,489.5590726591017,104,20,8,0.07692307692307693
O,6,990.5693345520297,158,20,16,0.10126582278481013
C,1,295.4552592776297,77,40,5,0.06493506493506493
C,2,227.53866976575696,70,40,2,0.02857142857142857
C,3,477.68208682959386,115,40,4,0.034782608695652174
C,4,314.8283264899927,63,40,6,0.09523809523809523
C,5,403.2963981689035,97,40,4,0.041237113402061855
C,6,407.18856291641555,88,40,6,0.06818181818181818
O,1,586.0233579075764,100,40,8,0.08
O,2,724.2644305426512,80,40,8,0.1
O,3,548.9752911610809,107,40,4,0.037383177570093455
O,4,372.295229402804,76,40,4,0.05263157894736842
O,5,489.5590726591017,104,40,5,0.04807692307692308
O,6,990.5693345520297,158,40,10,0.06329113924050633
