ID_REC,finca,zona,día,tamanio.cu,pante,proceso,arbol.ID,punto,arbol.pers,lat,lon,altura..ft,Fecha.de.c,fecha,hora,GPS,arboles,tiempo,delta,x_UTM,y_UTM
Ger1,Irlanda,centro,20OCT,6,1,inicio,1,32,1,15.1690833333333,92.34225,3409,20/10/2021 07:20,20/10/2021,7.2,amarillo,1,440,3.00000000000006,-74601.667,18311878.05
Ger1,Irlanda,centro,20OCT,6,1,durante,2,33,2,15.1691,92.3422833333333,3411,20/10/2021 07:23,20/10/2021,7.23,amarillo,1,443,13.9999999999999,-74605.216,18311876.11
Ger1,Irlanda,centro,20OCT,6,1,durante,3,34,3,15.1690666666667,92.3422833333333,3418,20/10/2021 07:37,20/10/2021,7.37,amarillo,1,457,1,-74605.307,18311879.81
Ger1,Irlanda,centro,20OCT,6,1,durante,4,35,4,15.1691,92.3423,3416,20/10/2021 07:38,20/10/2021,7.38,amarillo,1,458,5,-74607.014,18311876.07
Ger1,Irlanda,centro,20OCT,6,1,durante,5,36,5,15.1690833333333,92.3423166666667,3408,20/10/2021 07:43,20/10/2021,7.43,amarillo,1,463,3,-74608.856,18311877.87
Ger1,Irlanda,centro,20OCT,6,1,durante,6,37,6,15.1691,92.3423,3419,20/10/2021 07:46,20/10/2021,7.46,amarillo,1,466,0,-74607.014,18311876.07
Ger1,Irlanda,centro,20OCT,6,1,durante,7,38,7,15.1691333333333,92.3423166666667,3418,20/10/2021 07:46,20/10/2021,7.46,amarillo,1,466,2.00000000000006,-74608.72,18311872.32
Ger1,Irlanda,centro,20OCT,6,1,durante,8,39,8,15.1691166666667,92.34235,3422,20/10/2021 07:48,20/10/2021,7.48,amarillo,1,468,1.99999999999994,-74612.36,18311874.08
Ger1,Irlanda,centro,20OCT,6,1,durante,9,40,9,15.1691,92.3423333333333,3432,20/10/2021 07:50,20/10/2021,7.5,amarillo,1,470,3,-74610.608,18311875.98
Ger1,Irlanda,centro,20OCT,6,1,durante,10,41,10,15.1691,92.3423333333333,3432,20/10/2021 07:53,20/10/2021,7.53,amarillo,1,473,2,-74610.608,18311875.98
Ger1,Irlanda,centro,20OCT,6,1,durante,11,42,11,15.1691333333333,92.3423333333333,3428,20/10/2021 07:55,20/10/2021,7.55,amarillo,1,475,3,-74610.517,18311872.28
Ger1,Irlanda,centro,20OCT,6,1,durante,12,43,12,15.1691333333333,92.3423666666667,3427,20/10/2021 07:58,20/10/2021,7.58,amarillo,1,478,1,-74614.112,18311872.19
Ger1,Irlanda,centro,20OCT,6,1,durante,13,44,13,15.1691333333333,92.3423666666667,3424,20/10/2021 07:59,20/10/2021,7.59,amarillo,1,479,2,-74614.112,18311872.19
Ger1,Irlanda,centro,20OCT,6,1,durante,14,451,14,15.16915,92.34245,3427,20/10/2021 08:01,20/10/2021,8.01,amarillo,1,481,1.99999999999994,-74623.052,18311870.12
Ger1,Irlanda,centro,20OCT,6,1,durante,15,46,15,15.1691333333333,92.3424333333333,3424,20/10/2021 08:03,20/10/2021,8.03,amarillo,1,483,0.999999999999943,-74621.3,18311872.01
Ger1,Irlanda,centro,20OCT,6,1,durante,16,47,16,15.1691,92.3424166666667,3414,20/10/2021 08:04,20/10/2021,8.04,amarillo,1,484,7.00000000000006,-74619.594,18311875.76
Ger1,Irlanda,centro,20OCT,6,1,durante,17,48,17,15.1691166666667,92.3424666666667,3428,20/10/2021 08:11,20/10/2021,8.11,amarillo,1,491,2.00000000000011,-74624.94,18311873.78
Ger1,Irlanda,centro,20OCT,6,1,durante,18,49,18,15.1691166666667,92.3425166666667,3432,20/10/2021 08:13,20/10/2021,8.13,amarillo,1,493,2,-74630.331,18311873.64
Ger1,Irlanda,centro,20OCT,6,1,durante,19,50,19,15.1691333333333,92.3424833333333,3433,20/10/2021 08:15,20/10/2021,8.15,amarillo,1,495,3.99999999999989,-74626.692,18311871.88
Ger1,Irlanda,centro,20OCT,6,1,durante,20,51,20,15.1691333333333,92.3425,3416,20/10/2021 08:19,20/10/2021,8.19,amarillo,1,499,0,-74628.489,18311871.84
Ger1,Irlanda,centro,20OCT,6,1,durante,21,52,21,15.1691166666667,92.34255,3416,20/10/2021 08:19,20/10/2021,8.19,amarillo,1,499,2.00000000000017,-74633.926,18311873.56
Ger1,Irlanda,centro,20OCT,6,1,durante,22,53,22,15.1690833333333,92.3425666666667,3416,20/10/2021 08:21,20/10/2021,8.21,amarillo,1,501,0.999999999999943,-74635.813,18311877.21
Ger1,Irlanda,centro,20OCT,6,1,durante,23,54,23,15.1691166666667,92.3425666666667,3417,20/10/2021 08:22,20/10/2021,8.22,amarillo,1,502,2.99999999999994,-74635.723,18311873.51
Ger1,Irlanda,centro,20OCT,6,1,durante,24,55,24,15.1690666666667,92.3425833333333,3414,20/10/2021 08:25,20/10/2021,8.25,amarillo,1,505,1.99999999999994,-74637.656,18311879.02
Ger1,Irlanda,centro,20OCT,6,1,reinicio,25,56,25,15.1690333333333,92.3424666666667,3407,20/10/2021 09:08,20/10/2021,9.08,amarillo,1,548,1,-74625.166,18311883.03
Ger1,Irlanda,centro,20OCT,6,1,durante,26,57,26,15.1690833333333,92.3425833333333,3405,20/10/2021 09:09,20/10/2021,9.09,amarillo,1,549,0,-74637.611,18311877.17
Ger1,Irlanda,centro,20OCT,6,1,durante,27,58,27,15.1691166666667,92.3426,3406,20/10/2021 09:09,20/10/2021,9.09,amarillo,1,549,2.99999999999989,-74639.317,18311873.42
Ger1,Irlanda,centro,20OCT,6,1,durante,28,59,28,15.1691333333333,92.3425833333333,3413,20/10/2021 09:12,20/10/2021,9.12,amarillo,1,552,1.00000000000023,-74637.475,18311871.62
Ger1,Irlanda,centro,20OCT,6,1,durante,29,60,29,15.16915,92.3425666666667,3411,20/10/2021 09:13,20/10/2021,9.13,amarillo,1,553,0.999999999999886,-74635.632,18311869.81
Ger1,Irlanda,centro,20OCT,6,1,durante,30,61,30,15.1692166666667,92.3425833333333,3409,20/10/2021 09:14,20/10/2021,9.14,amarillo,1,554,0,-74637.248,18311862.37
Ger1,Irlanda,centro,20OCT,6,1,durante,31,62,31,15.1692333333333,92.3425666666667,3412,20/10/2021 09:14,20/10/2021,9.14,amarillo,1,554,2,-74635.406,18311860.56
Ger1,Irlanda,centro,20OCT,6,1,durante,32,63,32,15.1692166666667,92.34255,3414,20/10/2021 09:16,20/10/2021,9.16,amarillo,1,556,2,-74633.654,18311862.45
Ger1,Irlanda,centro,20OCT,6,1,durante,33,64,33,15.1692166666667,92.34255,3413,20/10/2021 09:18,20/10/2021,9.18,amarillo,1,558,1,-74633.654,18311862.45
Ger1,Irlanda,centro,20OCT,6,1,durante,34,65,34,15.1692333333333,92.34255,3417,20/10/2021 09:19,20/10/2021,9.19,amarillo,1,559,2.00000000000011,-74633.609,18311860.6
Ger1,Irlanda,centro,20OCT,6,1,durante,35,66,35,15.1692666666667,92.34255,3418,20/10/2021 09:21,20/10/2021,9.21,amarillo,1,561,1.99999999999989,-74633.518,18311856.9
Ger1,Irlanda,centro,20OCT,6,1,durante,36,67,36,15.16925,92.3425166666667,3419,20/10/2021 09:23,20/10/2021,9.23,amarillo,1,563,5.99999999999989,-74629.969,18311858.84
Ger1,Irlanda,centro,20OCT,6,1,durante,37,68,37,15.16925,92.3425166666667,3429,20/10/2021 09:29,20/10/2021,9.29,amarillo,1,569,1.00000000000023,-74629.969,18311858.84
Ger1,Irlanda,centro,20OCT,6,1,durante,38,69,38,15.1692833333333,92.3424833333333,3428,20/10/2021 09:30,20/10/2021,9.3,amarillo,1,570,0.999999999999886,-74626.284,18311855.23
Ger1,Irlanda,centro,20OCT,6,1,durante,39,70,39,15.1692833333333,92.3424666666667,3424,20/10/2021 09:31,20/10/2021,9.31,amarillo,1,571,1,-74624.487,18311855.27
Ger1,Irlanda,centro,20OCT,6,1,durante,40,71,40,15.1692666666667,92.3425166666667,3417,20/10/2021 09:32,20/10/2021,9.32,amarillo,1,572,4,-74629.924,18311856.99
