model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,1.5204,2.9968,1169.817979556142,2343.635959112284,1.4720424488081523,4.663398590498327
weibull,2.3709,7.2347,1169.817979555749,2343.635959111498,1.472042061388444,4.663400528195688
weibull,0.9681,12.3377,1169.8179795554463,2343.6359591108926,1.472042968529792,4.663401306961573
weibull,2.6554,2.7423,17976931348623157e292,Inf,2.6554,2.7423
weibull,1.7315,3.6439,1169.8179795551862,2343.6359591103724,1.472042464296179,4.663405093058212
weibull,0.5338,14.99,1169.8179795552978,2343.6359591105956,1.4720422448298502,4.6634049539498275
weibull,2.0605,3.2511,1169.8179795555995,2343.635959111199,1.4720418769531276,4.663402408696381
weibull,2.3136,5.7028,1169.8179795558171,2343.6359591116343,1.4720419488314989,4.663400461084697
weibull,0.298,12.1397,1169.817979555984,2343.635959111968,1.4720423183670646,4.663399183468662
weibull,2.0456,13.6152,1169.8179795554659,2343.6359591109317,1.4720425720902874,4.663401282530769
weibull,1.87,14.9248,1169.8179795551614,2343.635959110323,1.4720431199850006,4.663403208185785
weibull,1.6088,14.5947,1169.8179795557683,2343.6359591115365,1.4720420307672009,4.663400520656504
weibull,0.478,4.5198,1169.8179795553674,2343.635959110735,1.4720424843134283,4.6634020032153805
weibull,2.5385,12.3909,1169.8179795557303,2343.6359591114606,1.4720420006532502,4.663400795789867
weibull,2.5173,10.7585,1169.8179795554092,2343.6359591108185,1.4720428271429011,4.6634014853944
weibull,2.3904,0.128,17976931348623157e292,Inf,2.3904,0.128
weibull,0.5128,3.578,1169.8179795558106,2343.635959111621,1.4720419792526793,4.6634003960097274
weibull,0.8017,7.1828,1169.8179795556866,2343.6359591113733,1.4720428049839493,4.663400199227801
weibull,1.572,11.9652,1169.8179795557846,2343.6359591115693,1.4720419435950418,4.6634006576875535
weibull,2.4481,5.7178,1169.8179795558297,2343.6359591116593,1.4720419571559824,4.663400360909391
weibull,0.6415,0.7822,1169.8179795555811,2343.6359591111623,1.4720420915391137,4.663401443434618
weibull,0.8843,1.3092,1169.8179795556985,2343.635959111397,1.4720420267854681,4.663400895389251
weibull,0.8769,6.763,1169.817979555782,2343.635959111564,1.4720419901108326,4.663400542165704
weibull,1.6909,6.7158,1169.8179795557917,2343.6359591115834,1.4720419622340664,4.663400542947288
weibull,2.438,8.1096,1169.8179795557367,2343.6359591114733,1.4720420600336621,4.6634006190533714
weibull,1.7437,11.3034,1169.817979556102,2343.635959112204,1.472041768202677,4.663399511148683
weibull,2.2063,10.7259,1169.8179795557787,2343.6359591115574,1.4720419871644546,4.663400551786829
weibull,1.4917,2.1216,1169.8179795562808,2343.6359591125615,1.4720416606469366,4.663399029257916
weibull,0.6073,14.3871,1169.817979555961,2343.635959111922,1.472042016043501,4.663399617620524
weibull,2.29,1.1535,17976931348623157e292,Inf,2.29,1.1535
weibull,1.8386,14.8716,1169.8179795557708,2343.6359591115415,1.4720419762554684,4.663400616263293
weibull,0.2346,4.5198,1169.817979556945,2343.63595911389,1.472041167312149,4.6633978028797545
weibull,1.1416,13.2174,1169.8179795562983,2343.6359591125965,1.4720413825230936,4.663399866017293
weibull,1.7683,13.9493,1169.8179795550286,2343.6359591100572,1.4720432161793742,4.663405624008587
weibull,2.2245,3.4094,1169.8179795560907,2343.6359591121814,1.472041865343185,4.663399339652399
weibull,0.7769,0.629,1169.817979555782,2343.635959111564,1.472041991206454,4.663400530422939
weibull,1.3355,12.9962,1169.8179795557548,2343.6359591115097,1.4720420167555324,4.663400623442623
weibull,2.0907,8.261,1169.8179795562376,2343.635959112475,1.472041811101563,4.663398865044192
weibull,1.8635,14.7447,1169.817979555359,2343.635959110718,1.4720426000932876,4.663401859017028
weibull,0.8465,0.5417,1169.8179795563233,2343.6359591126466,1.4720415845842998,4.663399054106306
weibull,0.1016,6.6417,1169.8179795558426,2343.635959111685,1.4720419335693635,4.6634003484353785
weibull,2.2479,0.1778,17976931348623157e292,Inf,2.2479,0.17780000000000004
weibull,1.51,3.55,1169.8179795558674,2343.635959111735,1.4720418093127379,4.663400614532843
weibull,0.6865,10.6695,1169.8179795554638,2343.6359591109276,1.4720428922593916,4.663401227414328
weibull,2.0805,2.2175,1169.8179795556666,2343.6359591113332,1.4720420484265047,4.663401061532262
weibull,1.1264,5.2818,1169.8179795559597,2343.6359591119194,1.4720419763023826,4.663399696883973
weibull,2.331,14.1069,1169.8179795550218,2343.6359591100436,1.4720432054563917,4.663405642454129
weibull,0.2694,4.6994,1169.8179795553199,2343.6359591106398,1.472042418695087,4.66340250410084
weibull,0.8309,12.9572,1169.8179795559463,2343.6359591118926,1.4720418433897675,4.663400086148603
weibull,2.3655,12.5242,1169.8179795557473,2343.6359591114947,1.47204196781367,4.663400784583671
weibull,0.778,9.5704,1169.817979555579,2343.635959111158,1.4720418384577312,4.66340316594358
weibull,1.0919,7.0947,1169.8179795562025,2343.635959112405,1.472041794502389,4.6633990428290755
weibull,1.7556,5.1733,1169.8179795557717,2343.6359591115433,1.472042864019472,4.663399892498183
weibull,0.8069,3.4994,1169.8179795562398,2343.6359591124797,1.4720419693984574,4.66339858956296
weibull,0.1914,10.5656,1169.817979555599,2343.635959111198,1.4720421106657025,4.66340129570905
weibull,0.1343,9.0811,1169.8179795566275,2343.635959113255,1.4720414848080563,4.663398101002768
weibull,1.9977,14.0135,1169.8179795563997,2343.6359591127994,1.4720414046488235,4.663399280671706
weibull,2.3017,5.429,1169.817979556609,2343.635959113218,1.472041825574841,4.663397558958845
weibull,2.3564,13.0057,1169.8179795557662,2343.6359591115324,1.47204200256763,4.663400586239026
weibull,1.6845,2.204,1169.8179795554358,2343.6359591108717,1.4720429339145524,4.663401379342665
weibull,1.3637,11.9564,1169.8179795567632,2343.6359591135265,1.4720409733595547,4.663399436311068
weibull,0.2925,6.7719,1169.8179795557812,2343.6359591115624,1.4720419918568688,4.663400548898038
