"","ID","DELTA_TOTAL","TREE_TOTAL","WORKERS_TOTAL","treeTime"
"1","C_1",3.11666666666667,77,5,24.7058823529412
"2","C_2",4.26666666666668,70,3,16.40625
"3","C_3",4.20000000000001,115,1,27.3809523809523
"4","C_4",3.58333333333333,63,4,17.5813953488372
"5","C_5",3.48333333333332,97,2,27.8468899521532
"6","C_6",2.54999999999999,88,2,34.5098039215687
"7","E_1",3.71666666666667,100,6,26.9058295964125
"8","E_2",3.3,80,2,24.2424242424242
"9","E_3",4.65,107,3,23.010752688172
"10","E_4",3,76,7,25.3333333333333
"11","E_5",4.18333333333333,104,5,24.8605577689243
"12","E_6",4.25,158,2,37.1764705882353
