"","ID","pante","MAX_ALT","MIN_ALT","DeltaMean","DIF_ft","DIF_m"
"1","C_1",1,3901,3860,2.42857142857143,41,12.4968
"2","C_2",1,3873,3841,3.65714285714287,32,9.7536
"3","C_3",1,4049,4007,2.19130434782609,42,12.8016
"4","C_4",1,3983,3936,3.41269841269841,47,14.3256
"5","C_5",1,3812,3779,2.22413793103448,33,10.0584
"6","C_5",2,3853,3785,2.05128205128205,68,20.7264
"7","C_6",1,4141,4029,1.73863636363636,112,34.1376
"8","E_1",1,3545,3406,2.23,139,42.3672
"9","E_2",1,3343,3226,2.55172413793104,117,35.6616
"10","E_2",2,3329,3256,2.27272727272727,73,22.2504
"11","E_3",1,3232,3137,2.9016393442623,95,28.956
"12","E_3",2,3175,3130,2.21739130434782,45,13.716
"13","E_4",1,3251,3187,2.88235294117648,64,19.5072
"14","E_4",2,3731,3684,1.95238095238095,47,14.3256
"15","E_5",1,3928,3865,2.41346153846154,63,19.2024
"16","E_6",1,3213,3005,1.4297520661157,208,63.3984
"17","E_6",2,3406,3322,2.21621621621622,84,25.6032
