model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,1.2751,12.152,2944.4733284695394,5892.946656939079,1.2152945197220402,5.569298538098753
weibull,0.2491,4.1595,2944.473328470155,5892.94665694031,1.2152943600844963,5.569297377024552
weibull,0.4024,6.9983,2944.47332847222,5892.94665694444,1.2152937033366884,5.569295785992194
weibull,1.5102,1.3195,17976931348623157e292,Inf,1.5102,1.3195
weibull,0.1313,1.9783,2944.4733284695812,5892.9466569391625,1.215294525388957,5.569298437608198
weibull,1.1577,11.8725,2944.4733284696345,5892.946656939269,1.2152943030901882,5.5693003074794865
weibull,0.6778,13.0262,2944.4733284694244,5892.946656938849,1.215294559776044,5.569298779982148
weibull,1.2837,8.0813,2944.473328469161,5892.946656938322,1.2152952392593401,5.569298371340977
weibull,1.9535,9.613,2944.4733284704107,5892.946656940821,1.2152939747002318,5.569301961905093
weibull,1.2153,2.4607,2944.4733284699437,5892.946656939887,1.2152943729823558,5.569297874622636
weibull,0.1206,13.0983,2944.473328468368,5892.946656936736,1.2152951791602564,5.56930144559254
weibull,0.9975,0.9064,2944.4733284684694,5892.946656936939,1.2152948908143713,5.569302096409712
weibull,2.6203,5.4354,17976931348623157e292,Inf,2.6203,5.4354
weibull,1.2357,12.1239,2944.473328470201,5892.946656940402,1.2152944700253308,5.5692967198766326
weibull,0.1225,1.8536,2944.4733284698177,5892.946656939635,1.2152945111083553,5.5692976211682
weibull,1.768,7.4296,2944.4733284695103,5892.946656939021,1.2152945395857657,5.569298545426315
weibull,0.569,14.1975,2944.4733284699,5892.9466569398,1.215294502051277,5.569297385392084
weibull,0.6014,4.2395,2944.4733284697454,5892.946656939491,1.2152946001944844,5.569297511870453
weibull,2.3427,5.0514,17976931348623157e292,Inf,2.3427,5.0514
weibull,0.4956,12.8939,2944.473328469432,5892.946656938864,1.2152946478056852,5.5692983752265075
weibull,2.6868,2.8132,17976931348623157e292,Inf,2.6868,2.8132
weibull,0.8152,12.0946,2944.473328469593,5892.946656939186,1.2152945181880346,5.569298383745171
weibull,2.5766,13.2218,2944.4733284687472,5892.9466569374945,1.2152955010564013,5.569300066445687
weibull,1.8963,4.3593,2944.473328469809,5892.946656939618,1.2152945427702608,5.569297491795375
weibull,0.3354,10.9879,2944.4733284694066,5892.946656938813,1.2152945897001708,5.569298709773844
weibull,1.6882,10.1711,2944.473328469721,5892.946656939442,1.2152943912359155,5.569298775034612
weibull,0.8186,2.1273,2944.473328467954,5892.946656935908,1.2152953510331614,5.569304998355983
weibull,0.744,3.0159,2944.4733284709605,5892.946656941921,1.2152943087902,5.569295280548371
weibull,0.6391,9.1279,2944.4733284696663,5892.946656939333,1.2152944313518381,5.56929860992881
weibull,0.7768,2.9102,2944.4733284726585,5892.946656945317,1.2152940468888709,5.569292595614488
weibull,0.2738,14.5953,2944.4733284692634,5892.946656938527,1.2152946130363658,5.5692991569407955
weibull,1.0303,13.7995,2944.4733284684353,5892.946656936871,1.2152949284436072,5.5693020738705865
weibull,2.5444,4.2972,17976931348623157e292,Inf,2.5444,4.2972
weibull,0.4493,13.9918,2944.473328469459,5892.946656938918,1.2152945572562357,5.56929874420185
weibull,1.6583,13.4836,2944.4733284695335,5892.946656939067,1.2152945347928163,5.569298523276283
weibull,1.5223,4.7028,2944.473328469527,5892.946656939054,1.215294544828273,5.569298631800891
weibull,1.6599,10.9535,2944.4733284694826,5892.946656938965,1.2152948253321167,5.569297713585316
weibull,0.1208,10.8875,2944.4733284695585,5892.946656939117,1.215294530201628,5.569298406425523
weibull,2.2785,7.148,2944.473328469286,5892.946656938572,1.215294701777711,5.569298661469206
weibull,1.5346,9.3206,2944.4733284695617,5892.946656939123,1.2152945295513993,5.569298523025221
weibull,2.3702,5.5599,17976931348623157e292,Inf,2.3702,5.5599
weibull,1.2018,12.0174,2944.4733284696663,5892.946656939333,1.2152944905864715,5.569298286147619
weibull,2.666,10.4786,2944.473328469445,5892.94665693889,1.2152945239568744,5.569298974910336
weibull,1.6472,9.753,2944.4733284695226,5892.946656939045,1.2152945399824666,5.56929854087652
weibull,0.5652,1.545,2944.473328469209,5892.946656938418,1.21529446553529,5.569301031168203
weibull,1.9708,2.5339,17976931348623157e292,Inf,1.9708,2.5339
weibull,1.3255,12.7516,2944.473328468652,5892.946656937304,1.215295130970802,5.569300082553488
weibull,2.323,11.6631,2944.4733284696317,5892.946656939263,1.2152945316403887,5.569298192272291
weibull,1.3772,11.3222,2944.4733284699037,5892.946656939807,1.215294226164233,5.569299544282384
weibull,0.1985,7.8956,2944.473328469821,5892.946656939642,1.2152943771778055,5.569298513786998
weibull,0.9108,2.7934,2944.4733284696485,5892.946656939297,1.2152944340486613,5.569298705650001
weibull,1.8079,5.8178,2944.473328469529,5892.946656939058,1.2152944879797059,5.5692988649934465
weibull,0.7369,0.7358,2944.4733284682475,5892.946656936495,1.2152950174474004,5.5693053336744756
weibull,0.5546,5.977,2944.4733284694753,5892.946656938951,1.215294598878609,5.569298441063125
weibull,1.8648,9.0216,2944.473328469672,5892.946656939344,1.215294509491819,5.569298161438501
weibull,1.3183,2.1154,2944.473328470457,5892.946656940914,1.2152943890347274,5.569296213346
weibull,2.3665,8.6001,2944.473328469689,5892.946656939378,1.2152944886913344,5.569298243971442
weibull,1.18,7.0701,2944.4733284694435,5892.946656938887,1.2152946041447246,5.569298502563399
weibull,1.5767,7.0344,2944.4733284696867,5892.9466569393735,1.2152945106756197,5.5692980559166125
weibull,0.4519,13.4082,2944.4733284694726,5892.946656938945,1.2152945536321687,5.569298748607363
weibull,0.5517,4.9525,2944.47332846888,5892.94665693776,1.2152950126956081,5.569299274039559
weibull,1.0977,6.126,2944.4733284697686,5892.946656939537,1.2152944737314637,5.5692979712287896
weibull,0.2624,1.9229,2944.473328469519,5892.946656939038,1.215294542568511,5.569298613470208
weibull,0.1177,2.9906,2944.473328470187,5892.946656940374,1.2152942764654833,5.569297737397276
weibull,0.1008,3.6316,2944.4733284696017,5892.946656939203,1.2152948071989336,5.569297322966945
weibull,1.686,4.3253,2944.4733284700974,5892.946656940195,1.2152946968152356,5.569296304831802
weibull,0.7281,7.1357,2944.473328469815,5892.94665693963,1.2152944360759528,5.569298030537287
weibull,2.45,13.9926,2944.4733284706363,5892.9466569412725,1.2152943949305708,5.569295801022954
weibull,0.8502,12.8719,2944.473328469821,5892.946656939642,1.2152942206450859,5.569300250663235
weibull,2.5582,4.22,17976931348623157e292,Inf,2.5582,4.22
weibull,0.8375,10.0382,2944.4733284696695,5892.946656939339,1.21529442330414,5.569298640231641
weibull,0.346,9.1311,2944.4733284690965,5892.946656938193,1.2152948435747843,5.569298958192384
weibull,1.8555,6.257,2944.47332847275,5892.9466569455,1.2152940217687573,5.569292501013214
weibull,1.1336,14.017,2944.473328468262,5892.946656936524,1.215295433132684,5.5693019517360876
weibull,1.5565,3.2077,2944.473328468935,5892.94665693787,1.215294604897981,5.569301109214606
weibull,1.7029,0.3437,17976931348623157e292,Inf,1.7029,0.3437
weibull,2.6068,7.6596,17976931348623157e292,Inf,2.6068,7.659599999999998
weibull,2.0209,6.1762,2944.473328469704,5892.946656939408,1.2152954082825385,5.5692972306994575
weibull,0.5178,13.9493,2944.4733284695512,5892.9466569391025,1.2152945335960157,5.569298500376363
weibull,1.4741,13.5327,2944.473328469385,5892.94665693877,1.2152946235280746,5.569298738921263
weibull,2.5457,4.2331,17976931348623157e292,Inf,2.5457,4.2331
weibull,1.386,1.8948,2944.4733284696886,5892.946656939377,1.2152944899253146,5.569298127465065
weibull,1.1762,8.4566,2944.473328469329,5892.946656938658,1.215294628187493,5.569298797629495
weibull,1.3884,11.4017,2944.47332846947,5892.94665693894,1.215294566074858,5.569298570672883
weibull,1.8626,6.575,2944.473328469797,5892.946656939594,1.2152945922092215,5.5692973799579795
weibull,0.7873,13.7002,2944.4733284693652,5892.9466569387305,1.21529456824931,5.569299030454162
weibull,0.6982,13.1661,2944.473328468606,5892.946656937212,1.2152947402071332,5.569302380996993
weibull,1.5076,2.7877,2944.4733284696003,5892.946656939201,1.2152945451211759,5.569298306017851
