model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,29.7121,13.9932,17976931348623157e292,Inf,29.712099999999996,13.993199999999998
weibull,36.4454,22.1244,17976931348623157e292,Inf,36.44540000000001,22.1244
weibull,14.8075,5.4415,17976931348623157e292,Inf,14.8075,5.4415000000000004
weibull,15.1944,13.4438,17976931348623157e292,Inf,15.1944,13.443800000000001
weibull,14.4558,11.5585,17976931348623157e292,Inf,14.455799999999998,11.5585
weibull,21.1305,13.2607,17976931348623157e292,Inf,21.1305,13.2607
weibull,25.4037,16.5926,17976931348623157e292,Inf,25.403699999999997,16.592599999999997
weibull,13.9924,18.7892,17976931348623157e292,Inf,13.992399999999998,18.789199999999997
weibull,3.4255,5.1534,17976931348623157e292,Inf,3.4255,5.153400000000001
weibull,36.7497,19.7585,17976931348623157e292,Inf,36.74969999999999,19.758499999999998
weibull,2.8784,5.4835,1169.817979555865,2343.63595911173,1.4720420230322822,4.66340004064768
weibull,19.0724,1.6323,17976931348623157e292,Inf,19.0724,1.6323
weibull,6.4709,20.2038,1169.8179795557917,2343.6359591115834,1.4720419567455114,4.663400569503419
weibull,8.5645,16.9642,17976931348623157e292,Inf,8.5645,16.964199999999998
weibull,17.6336,14.9537,17976931348623157e292,Inf,17.6336,14.953699999999998
weibull,36.4827,17.6017,17976931348623157e292,Inf,36.4827,17.601699999999997
weibull,28.9706,19.0375,17976931348623157e292,Inf,28.9706,19.037500000000005
weibull,35.3067,3.0442,17976931348623157e292,Inf,35.3067,3.0441999999999996
weibull,2.5353,19.9737,1169.8179795557714,2343.635959111543,1.4720417744897092,4.6634013758735895
weibull,23.6894,17.5475,17976931348623157e292,Inf,23.6894,17.547499999999996
weibull,25.8513,19.3298,17976931348623157e292,Inf,25.851299999999995,19.3298
weibull,8.6857,11.434,17976931348623157e292,Inf,8.6857,11.434000000000001
weibull,35.85,9.3562,17976931348623157e292,Inf,35.849999999999994,9.3562
weibull,12.3389,3.0612,17976931348623157e292,Inf,12.338900000000002,3.0611999999999995
weibull,11.2163,19.0685,17976931348623157e292,Inf,11.2163,19.068500000000004
weibull,34.9326,15.2278,17976931348623157e292,Inf,34.93260000000001,15.227800000000002
weibull,19.9535,0.8819,17976931348623157e292,Inf,19.9535,0.8819
weibull,29.4396,10.1436,17976931348623157e292,Inf,29.439599999999995,10.143600000000001
weibull,14.8722,15.409,17976931348623157e292,Inf,14.872199999999998,15.408999999999997
weibull,5.8277,1.7,17976931348623157e292,Inf,5.8277,1.7
weibull,4.7302,11.7223,1169.8179795558294,2343.635959111659,1.4720421218671114,4.6634000175544825
weibull,4.0438,7.3898,17976931348623157e292,Inf,4.0438,7.389800000000001
weibull,37.8423,2.0705,17976931348623157e292,Inf,37.84230000000001,2.0705
weibull,29.7415,22.4281,17976931348623157e292,Inf,29.741499999999995,22.4281
weibull,33.8122,4.7444,17976931348623157e292,Inf,33.8122,4.744399999999999
weibull,24.5863,7.0367,17976931348623157e292,Inf,24.586300000000005,7.0367
weibull,31.136,14.2595,17976931348623157e292,Inf,31.136000000000003,14.259499999999997
weibull,19.4536,0.5183,17976931348623157e292,Inf,19.453600000000005,0.5183
weibull,5.4217,21.7578,1169.8179795557287,2343.6359591114574,1.472042039745333,4.663400711318188
weibull,32.3921,18.222,17976931348623157e292,Inf,32.39209999999999,18.222
weibull,6.2876,19.4019,1169.8179795558135,2343.635959111627,1.4720419913333396,4.6634003582682455
weibull,6.2445,17.9834,1169.817979555741,2343.635959111482,1.4720425461734121,4.663399988717482
weibull,19.8525,21.6116,17976931348623157e292,Inf,19.852500000000003,21.6116
weibull,35.6864,18.1666,17976931348623157e292,Inf,35.686400000000006,18.1666
weibull,31.1699,8.915,17976931348623157e292,Inf,31.1699,8.915000000000001
weibull,28.0119,17.6268,17976931348623157e292,Inf,28.011900000000004,17.626799999999996
weibull,11.4922,21.513,17976931348623157e292,Inf,11.492199999999999,21.512999999999998
weibull,24.8972,9.8366,17976931348623157e292,Inf,24.897199999999998,9.8366
weibull,34.3909,15.8819,17976931348623157e292,Inf,34.390899999999995,15.881900000000003
weibull,15.7607,10.1732,17976931348623157e292,Inf,15.760699999999998,10.173199999999998
weibull,6.4278,16.8609,1169.8179795558142,2343.6359591116284,1.4720421320787316,4.6634000722695115
weibull,2.8447,15.9551,1169.8179795558485,2343.635959111697,1.472042042896617,4.663400080717144
weibull,4.8772,21.1239,1169.8179795559279,2343.6359591118558,1.4720418582580648,4.663400120479298
weibull,8.6789,0.7712,17976931348623157e292,Inf,8.678900000000002,0.7712
weibull,17.5725,1.4331,17976931348623157e292,Inf,17.5725,1.4331
weibull,10.9351,8.9983,17976931348623157e292,Inf,10.935100000000002,8.998300000000002
weibull,28.7215,5.674,17976931348623157e292,Inf,28.7215,5.674
