model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,0.3191,3.8725,1169.817979556694,2343.635959113388,1.4720410974260947,4.66339913686476
weibull,1.5368,13.6274,1169.8179795552326,2343.635959110465,1.472042815961852,4.663402603689204
weibull,2.2404,6.7959,1169.817979555025,2343.63595911005,1.4720432067155844,4.663405657430015
weibull,1.4899,10.3491,1169.8179795553053,2343.6359591106107,1.4720432252115656,4.6634023044062305
weibull,0.1916,8.6084,1169.817979555777,2343.635959111554,1.4720419934033444,4.66340056096658
weibull,1.5917,5.213,1169.8179795557803,2343.6359591115606,1.472041991330684,4.663400530255327
weibull,1.3954,12.6373,1169.817979555779,2343.635959111558,1.472041971090848,4.66340061792981
weibull,1.3613,13.1427,1169.8179795556348,2343.6359591112696,1.4720421217857194,4.663401042371748
weibull,2.6742,2.4954,17976931348623157e292,Inf,2.6742,2.4954
weibull,1.1309,11.1313,1169.8179795575347,2343.6359591150695,1.4720409139031636,4.663396574470775
weibull,2.5163,10.0206,1169.8179795558344,2343.635959111669,1.47204186656614,4.663400603416726
weibull,2.0689,3.188,1169.817979555805,2343.63595911161,1.4720420001923096,4.663400378696928
weibull,1.7145,12.772,1169.8179795557703,2343.6359591115406,1.472041986629853,4.663400615156198
weibull,0.6343,12.5739,1169.817979555781,2343.635959111562,1.472041987866851,4.663400543467519
weibull,1.8684,8.8647,1169.8179795560643,2343.6359591121286,1.4720414565572812,4.663401021400186
weibull,1.9151,3.0093,1169.8179795566568,2343.6359591133137,1.4720416596148371,4.663397656868874
weibull,0.587,13.3074,1169.8179795557694,2343.635959111539,1.4720419917126606,4.6634005976734585
weibull,1.1339,9.1138,1169.8179795557805,2343.635959111561,1.4720419845272081,4.66340054010889
weibull,2.4124,5.6297,1169.8179795558128,2343.6359591116257,1.4720419481816989,4.663400476882774
weibull,1.8928,3.2622,1169.8179795558317,2343.6359591116634,1.472041959543333,4.663400336255002
weibull,2.5331,9.5262,1169.8179795550273,2343.6359591100545,1.4720431743048032,4.6634055726087364
weibull,0.2927,11.8359,1169.8179795556991,2343.6359591113983,1.472042137746814,4.663400647719855
weibull,2.3941,10.3765,1169.8179795558965,2343.635959111793,1.4720417410341573,4.66340068886194
weibull,2.249,4.4016,1169.8179795562637,2343.6359591125274,1.4720416905784215,4.6633990204419735
weibull,1.4369,5.5514,1169.8179795558945,2343.635959111789,1.472041861758458,4.663400279322923
weibull,0.7478,8.2688,1169.8179795563956,2343.635959112791,1.4720412470009054,4.663400012186358
weibull,0.4534,8.6277,1169.8179795560827,2343.6359591121654,1.4720420742998337,4.6633990286040525
weibull,1.4755,0.5486,1169.8179795560359,2343.6359591120718,1.4720416012524191,4.663400411792606
weibull,0.1964,13.7879,1169.8179795558203,2343.6359591116407,1.4720418255011443,4.66340083872966
weibull,1.2088,7.5649,1169.8179795557762,2343.6359591115524,1.4720419927876218,4.663400550399171
weibull,2.4943,8.4482,1169.817979555757,2343.635959111514,1.4720419988167064,4.663400643829681
