model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,1.6934,4.8742,1721.7528443934978,3447.5056887869955,1.1619375979526165,6.348514346825036
weibull,0.6529,6.8004,1721.7528443926392,3447.5056887852784,1.1619387726475128,6.348521718492496
weibull,2.0154,9.111,1721.7528443963981,3447.5056887927963,1.1619366907499364,6.348505200813184
weibull,1.4314,8.113,1721.7528443934536,3447.5056887869073,1.1619376062289837,6.348514651402276
weibull,1.8742,9.2911,1721.7528443935923,3447.5056887871847,1.1619375670141887,6.34851385791981
weibull,2.1717,6.8138,1721.7528443947688,3447.5056887895375,1.1619368377663999,6.348512155939647
weibull,1.0963,6.3849,1721.7528443927765,3447.505688785553,1.161938012597047,6.348519583741196
weibull,1.9473,12.1254,1721.7528443934852,3447.5056887869705,1.161937589236513,6.348514496026894
weibull,0.8618,12.5496,1721.7528443936426,3447.505688787285,1.1619382822665325,6.348512358266622
weibull,2.1245,5.0365,17976931348623157e292,Inf,2.1245,5.0365
weibull,0.4618,0.5859,1721.7528443934816,3447.505688786963,1.1619375241088914,6.348515093302823
weibull,2.5582,1.9231,17976931348623157e292,Inf,2.5582,1.9231
weibull,1.8793,13.4119,1721.7528443938224,3447.505688787645,1.161937372344053,6.348513559434136
weibull,0.969,0.8777,1721.7528443936353,3447.5056887872706,1.1619376488582003,6.348513166032964
weibull,2.3221,6.9128,1721.752844393338,3447.505688786676,1.161937572851417,6.348516044806406
weibull,2.3953,3.2269,17976931348623157e292,Inf,2.3953,3.2269
weibull,2.699,11.825,1721.7528443932752,3447.5056887865503,1.1619377205480474,6.348515451316604
weibull,2.3974,1.9062,17976931348623157e292,Inf,2.3974,1.9062
weibull,1.6876,10.0028,1721.7528443925567,3447.5056887851133,1.1619385141336163,6.348523173050356
weibull,1.6827,1.6981,17976931348623157e292,Inf,1.6827,1.6981
weibull,0.66,4.9719,1721.7528443934564,3447.5056887869127,1.161937619509277,6.3485144929590325
weibull,1.2218,12.8911,1721.7528443929825,3447.505688785965,1.1619377098095178,6.348520947903975
weibull,1.5994,0.7599,17976931348623157e292,Inf,1.5994,0.7599
weibull,2.6191,7.7571,17976931348623157e292,Inf,2.6191,7.757100000000001
weibull,0.539,13.2962,1721.7528443935626,3447.505688787125,1.1619375532670841,6.348514207161033
weibull,1.44,14.739,1721.752844393536,3447.505688787072,1.161937546655507,6.348514396889255
weibull,2.5658,12.7729,1721.7528443934596,3447.505688786919,1.1619375919926436,6.348514711439252
weibull,1.3421,14.1973,1721.7528443933752,3447.5056887867504,1.161937632682086,6.348515159914859
weibull,2.3159,12.0993,1721.7528443938324,3447.505688787665,1.1619375375984216,6.348512440404829
weibull,1.5355,6.853,1721.7528443943518,3447.5056887887035,1.1619373100557948,6.348510622684625
