model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,2.2032 _ 0.8003,5.0984 _ 13.198,2700.195759875302,5414.391519750604,2.0538527959630333,4.707530961214133,1.0546962910975959,14.446046639061324
weibull,0.551 _ 0.4321,5.0256 _ 3.4255,2700.195763222599,5414.391526445198,2.053856272411281,4.707531734889872,1.0546961095814826,14.446009376039642
weibull,1.8536 _ 0.446,5.0189 _ 9.6396,2700.1957627765123,5414.391525553025,2.0538555320621676,4.707533352538757,1.0546936681056633,14.445966757248803
weibull,2.1307 _ 1.154,3.735 _ 6.1868,2700.1957597908145,5414.391519581629,2.053854940721818,4.707534579024915,1.0546960826011471,14.445955312361598
weibull,0.374 _ 0.1582,5.093 _ 8.3934,2700.1957618221522,5414.3915236443045,2.0538543779904797,4.707535033475487,1.0546963235704854,14.44608957927793
weibull,2.0435 _ 2.3361,13.0207 _ 2.4168,2700.195762319375,5414.39152463875,1.0546962401186715,14.446021438134258,2.05385532092603,4.70753274378869
weibull,0.2166 _ 0.8679,8.6058 _ 2.5016,2700.1957597265286,5414.391519453057,1.0546975177161872,14.446033100837834,2.053856212031663,4.7075323169738486
weibull,0.8387 _ 2.2239,6.987 _ 10.9892,2700.1957597396513,5414.391519479303,1.0546967319769323,14.445967872696777,2.0538558955848627,4.707532475359259
weibull,0.7153 _ 0.7552,14.505 _ 1.1648,2700.1957595631234,5414.391519126247,2.0538555512016536,4.707531541878766,1.0546982546248598,14.446032752381592
weibull,1.9744 _ 1.7635,14.1829 _ 13.1689,2700.195778066605,5414.39155613321,2.0538569724981928,4.707531523951793,1.054696443618773,14.446089277264846
weibull,0.3726 _ 0.5387,6.9985 _ 13.5213,2700.195761159059,5414.391522318118,1.0547011663673027,14.44595935198309,2.0538581922607295,4.707527952543165
weibull,1.2428 _ 0.2032,14.572 _ 9.7708,2700.1957628057644,5414.391525611529,2.0538586486454826,4.707530447874633,1.054693535740397,14.44586091905114
weibull,1.6699 _ 1.9929,4.6428 _ 12.8422,2700.195761538068,5414.391523076136,2.053855075330053,4.707532916168368,1.0546952676000623,14.445987702774833
weibull,1.7426 _ 2.5561,4.358 _ 7.965,2700.1957596757725,5414.391519351545,1.0546953229805411,14.44588823931388,2.053855201525326,4.707533561491844
weibull,0.6211 _ 1.8073,5.3183 _ 10.9947,2700.195759767533,5414.391519535066,1.0546977783175364,14.446018705640306,2.053853557235553,4.707533739647354
weibull,0.7648 _ 1.4401,0.4177 _ 5.9319,2700.195760403276,5414.391520806552,1.0546973755502929,14.446085091867348,2.0538524000869782,4.707536096915118
weibull,0.7663 _ 0.3861,13.8443 _ 14.8055,2700.1957618963797,5414.3915237927595,2.05385440863596,4.707534812356043,1.054694678812983,14.446080834174305
weibull,2.3115 _ 0.6645,7.3191 _ 1.5814,2700.195762603573,5414.391525207146,2.053858126801782,4.707531870352225,1.0546872681706758,14.44573402109813
weibull,1.094 _ 0.3206,9.1041 _ 12.6614,2700.1957644492104,5414.391528898421,2.0538583548223466,4.7075297388878115,1.0547011560512618,14.446096397994344
weibull,2.4275 _ 1.5851,6.2451 _ 1.7198,17976931348623157e292,Inf,2.4275,6.245099999999999,1.5851,1.7198
weibull,1.9302 _ 0.1842,13.6002 _ 3.2904,2700.195848837335,5414.39169767467,1.054695649950982,14.445984537154409,2.0538573976721026,4.70752917398168
weibull,2.2208 _ 2.5218,5.533 _ 9.5949,2700.195777530892,5414.391555061784,2.0538591638147525,4.707532413085273,1.0547019714199335,14.446139794588941
weibull,0.1656 _ 0.189,13.344 _ 1.557,2700.1957600633987,5414.391520126797,1.0546956497286075,14.446019360986579,2.053855387607079,4.707532328543748
weibull,2.5299 _ 1.2586,4.3618 _ 13.2866,2700.1957622124623,5414.391524424925,2.053854240692167,4.707535578927521,1.054690676536925,14.446032399687066
