model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,32.935 _ 18.2293,16.0618 _ 16.6921,17976931348623157e292,Inf,32.935,16.0618,18.2293,16.692100000000003
weibull,20.081 _ 15.8686,18.1788 _ 14.9123,17976931348623157e292,Inf,20.081,18.178800000000003,15.868600000000002,14.912299999999998
weibull,26.7713 _ 2.8527,19.8203 _ 3.9638,17976931348623157e292,Inf,26.771299999999997,19.8203,2.8527,3.9638000000000004
weibull,15.2838 _ 32.1292,1.1097 _ 18.6868,17976931348623157e292,Inf,15.283800000000003,1.1097,32.1292,18.6868
weibull,30.5777 _ 35.3068,8.9827 _ 19.7225,17976931348623157e292,Inf,30.577700000000004,8.9827,35.306799999999996,19.722499999999997
weibull,20.7858 _ 28.4929,19.0632 _ 10.8906,17976931348623157e292,Inf,20.785799999999995,19.0632,28.4929,10.890600000000001
weibull,13.0294 _ 2.1101,1.3602 _ 13.6893,17976931348623157e292,Inf,20.785799999999995,19.0632,28.4929,10.890600000000001
weibull,1.0302 _ 11.5321,22.9681 _ 4.8937,1079.1484681124323,2172.2969362248646,2.4234613452305633,3.872800159464088,1.458069690497317,10.116149979479733
weibull,33.86 _ 3.0998,4.4169 _ 11.3035,1079.1484681124323,2172.2969362248646,2.4234613452305633,3.872800159464088,1.458069690497317,10.116149979479733
weibull,9.0421 _ 35.4701,21.4067 _ 3.0154,1169.8179795723904,2353.635959144781,4.967984580160266e-16,10918562197.21606,1.4720428110489718,4.663399876579437
weibull,19.7572 _ 21.6351,2.0679 _ 14.087,17976931348623157e292,Inf,19.757199999999997,2.0679,21.635100000000005,14.086999999999998
weibull,8.6406 _ 3.1628,2.6672 _ 3.7547,17976931348623157e292,Inf,8.640599999999997,2.6672,3.1628,3.7547
weibull,6.2612 _ 21.6841,5.3314 _ 21.0204,17976931348623157e292,Inf,6.2612,5.3314,21.6841,21.020399999999995
weibull,2.6174 _ 31.6413,16.0078 _ 21.9956,1169.8179798239282,2353.6359596478565,1.4720424230124036,4.663402614557051,0.013536548209193464,7.460926454920075
weibull,8.24 _ 16.5642,0.5643 _ 13.7718,17976931348623157e292,Inf,8.24,0.5643,16.564199999999996,13.771799999999999
