model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,29.2955 _ 4.0325,3.8589 _ 22.6557,17976931348623157e292,Inf,29.2955,3.8589000000000007,4.0325,22.6557
weibull,11.0718 _ 36.1283,19.2945 _ 13.8971,17976931348623157e292,Inf,11.071800000000001,19.294499999999996,36.128299999999996,13.897099999999998
weibull,34.2385 _ 0.6289,10.3264 _ 18.2195,1672.0073224111638,3358.0146448223277,19.24804061870015,2.1436181086522725,1.1867503605831915,6.959828833438902
weibull,37.0942 _ 28.4186,15.0012 _ 9.0895,17976931348623157e292,Inf,37.094199999999994,15.001200000000003,28.4186,9.0895
weibull,25.4738 _ 37.1882,8.834 _ 17.0193,17976931348623157e292,Inf,25.4738,8.834,37.18820000000001,17.019300000000005
weibull,31.9497 _ 25.7067,8.9141 _ 1.7684,17976931348623157e292,Inf,31.949699999999996,8.9141,25.7067,1.7684
weibull,39.288 _ 13.8403,3.0198 _ 3.0273,17976931348623157e292,Inf,39.288,3.0198,13.840300000000003,3.0273
weibull,16.6866 _ 15.9571,13.6862 _ 11.6451,17976931348623157e292,Inf,16.6866,13.686200000000001,15.957099999999997,11.645100000000001
weibull,24.9598 _ 18.6205,21.9434 _ 4.8901,17976931348623157e292,Inf,24.959799999999998,21.943400000000004,18.620500000000003,4.8901
weibull,14.6347 _ 22.1124,5.8566 _ 5.2345,17976931348623157e292,Inf,14.6347,5.8566,22.1124,5.2345
weibull,10.1748 _ 6.8626,2.1094 _ 7.6539,17976931348623157e292,Inf,10.1748,2.1094,6.8626000000000005,7.653899999999999
weibull,28.1528 _ 28.2721,19.663 _ 4.584,17976931348623157e292,Inf,28.1528,19.663000000000004,28.272099999999995,4.584
weibull,35.6619 _ 15.6266,5.1905 _ 17.8113,17976931348623157e292,Inf,35.661899999999996,5.1905,15.626600000000002,17.811300000000003
weibull,15.0019 _ 7.7875,19.8281 _ 1.248,17976931348623157e292,Inf,15.001900000000001,19.828099999999996,7.7875,1.248
weibull,15.6572 _ 16.2759,8.7823 _ 7.8022,17976931348623157e292,Inf,15.657199999999998,8.782299999999998,16.2759,7.8022
weibull,11.1724 _ 26.4187,2.5293 _ 5.155,17976931348623157e292,Inf,11.1724,2.5293,26.418699999999998,5.154999999999999
