model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,0.1422 _ 1.3888,13.6829 _ 7.6687,1079.1484680619228,2172.2969361238456,1.4580798426662107,10.11619457737332,2.423461353836104,3.8728003398025796
weibull,1.0054 _ 1.0865,9.8758 _ 10.5469,1079.148467364111,2172.296934728222,2.423462005413092,3.8728000313647835,1.4580781337861832,10.116203196962058
weibull,2.2502 _ 0.5551,10.4994 _ 11.2512,1079.1484672685758,2172.2969345371516,1.4580789632490885,10.116170374509437,2.423462197186331,3.872801179188678
weibull,1.7165 _ 1.8961,10.6892 _ 8.7532,1079.1484683060642,2172.2969366121283,1.4580795545476644,10.116202795751073,2.423461636536583,3.872800405711542
weibull,1.0503 _ 1.8742,4.535 _ 1.4074,1079.1484673855105,2172.296934771021,1.4580747249664239,10.116138574417723,2.423463285698004,3.8727990487329085
weibull,1.4506 _ 2.1575,0.8934 _ 5.2289,1079.148467347145,2172.29693469429,1.458076023921739,10.11615821274465,2.4234614801237835,3.872799110540212
weibull,1.8477 _ 1.7697,13.1929 _ 9.9513,1079.148477999571,2172.296955999142,2.423462963373357,3.8727978338945963,1.4580736774057161,10.116119070272296
weibull,0.6099 _ 0.8993,12.5797 _ 2.6935,1079.1484675618394,2172.296935123679,1.4580811660591757,10.116181651135554,2.4234613004592394,3.872799884949772
weibull,0.172 _ 0.5132,0.7486 _ 3.4505,1079.148467787175,2172.29693557435,1.4580765397474937,10.116157664694224,2.423461435886552,3.872799481498139
weibull,1.2728 _ 2.1195,10.4516 _ 9.202,1079.1484686541964,2172.296937308393,1.4580756858771722,10.116139561804381,2.4234625825757656,3.872798250177815
weibull,1.1382 _ 0.1831,10.6251 _ 11.5074,1079.148467999721,2172.296935999442,2.4234586223466033,3.8728025857435826,1.4580730346738582,10.116170728935487
weibull,1.6299 _ 0.44,3.4513 _ 11.1523,1079.1484675268773,2172.2969350537546,2.423461367156741,3.8727980467595193,1.4580597239688435,10.116057054170716
weibull,0.7032 _ 1.9816,4.8189 _ 0.2886,1169.818082781861,2353.636165563722,1.472041937182328,4.663400546445254,1.9410395913258844,0.29363611066878165
weibull,1.3768 _ 0.3429,14.0157 _ 11.9132,1079.1484683499305,2172.296936699861,1.458077191661093,10.116136804555703,2.4234636777759584,3.872797917305274
weibull,0.9198 _ 0.2648,5.926 _ 8.1122,1079.1484681584218,2172.2969363168436,2.4234625060130632,3.872801106851607,1.4580801013423161,10.11617396740161
weibull,0.603 _ 0.7542,11.4786 _ 5.3051,1106.5257698767143,2227.0515397534286,1.5365859723009163,5.700558391382195,5.897910569380483,2.4846505944298567
weibull,1.4308 _ 0.1972,9.7999 _ 2.6874,1079.1484684891586,2172.2969369783173,2.4234610073447707,3.872798068765313,1.4580771810396678,10.116127362712103
weibull,1.4105 _ 1.3537,6.5608 _ 7.1073,1079.148467465265,2172.29693493053,2.4234624918257373,3.8728002545031863,1.4580677522742689,10.116124105654045
weibull,2.2789 _ 1.8894,1.3352 _ 11.0008,1079.1484686984052,2172.2969373968103,2.4234605835136716,3.8728002710861675,1.4580793532330283,10.116202413126725
weibull,0.3277 _ 0.7295,7.896 _ 9.9668,1079.1484686984052,2172.2969373968103,2.4234605835136716,3.8728002710861675,1.4580793532330283,10.116202413126725
weibull,2.5499 _ 0.3066,12.3573 _ 0.8388,1079.1484681942497,2172.2969363884995,2.4234621719502125,3.8727985660009163,1.4580719802892337,10.116147916612475
weibull,1.488 _ 1.6235,2.0093 _ 3.3307,1079.1484675006664,2172.2969350013327,2.4234621136506447,3.872798407842866,1.4580757863315226,10.116152572018912
weibull,1.0255 _ 1.8703,11.5229 _ 9.715,1079.1484687418417,2172.2969374836835,2.4234623010977905,3.8727985995435383,1.4580569131582688,10.116040183746284
weibull,1.201 _ 0.6974,14.7978 _ 7.6687,773.9269121907575,1561.853824381515,1.5467286239633937,5.756932336185705,228.447352584035,2.0008954135243457
weibull,2.649 _ 1.5186,11.7202 _ 1.3901,1079.1484673959453,2172.2969347918906,2.423462448033095,3.8727984252555347,1.4580742198464502,10.116138306401885
weibull,1.4279 _ 0.1505,10.2659 _ 5.0624,1079.1484682486566,2172.2969364973133,2.423462061938945,3.872798689639866,1.4580704217899076,10.11612117951775
weibull,0.5296 _ 0.7969,2.3071 _ 9.4922,1079.148468435924,2172.296936871848,1.4580746998554128,10.116131384292313,2.4234623572094427,3.872798408214458
weibull,0.9759 _ 1.1429,14.1478 _ 9.7843,1079.1484687548154,2172.296937509631,1.45807664239212,10.116109908680654,2.4234622154342174,3.8727960700075648
weibull,1.1391 _ 1.9232,4.8353 _ 12.586,1079.1484687410164,2172.2969374820327,2.4234636505372458,3.872795585212805,1.4580724599467374,10.116049033677074
weibull,0.5855 _ 0.2344,0.5519 _ 6.7014,1079.148467305684,2172.296934611368,1.458074760672955,10.116142492946985,2.423461552565271,3.872797888851959
