ID,finca,zona,día,persona,edad,sexo,tamanio.cuadrilla,pante,proceso,arbol.ID,punto,arbol.persona,posicion,altura (ft),Fecha de modificación,Fecha de creación,Fecha de creación-mod,GPS
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,inicio,1,32,1,N15° 10.145' W92° 20.535',3409,25/10/2021 14:07,20/10/2021 07:20,20/10/2021 07.20,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,2,33,2,N15° 10.146' W92° 20.537',3411,25/10/2021 14:07,20/10/2021 07:23,20/10/2021 07.23,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,3,34,3,N15° 10.144' W92° 20.537',3418,25/10/2021 14:07,20/10/2021 07:37,20/10/2021 07.37,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,4,35,4,N15° 10.146' W92° 20.538',3416,25/10/2021 14:07,20/10/2021 07:38,20/10/2021 07.38,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,5,36,5,N15° 10.145' W92° 20.539',3408,25/10/2021 14:07,20/10/2021 07:43,20/10/2021 07.43,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,6,37,6,N15° 10.146' W92° 20.538',3419,25/10/2021 14:07,20/10/2021 07:46,20/10/2021 07.46,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,7,38,7,N15° 10.148' W92° 20.539',3418,25/10/2021 14:07,20/10/2021 07:46,20/10/2021 07.46,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,8,39,8,N15° 10.147' W92° 20.541',3422,25/10/2021 14:07,20/10/2021 07:48,20/10/2021 07.48,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,9,40,9,N15° 10.146' W92° 20.540',3432,25/10/2021 14:07,20/10/2021 07:50,20/10/2021 07.50,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,10,41,10,N15° 10.146' W92° 20.540',3432,25/10/2021 14:07,20/10/2021 07:53,20/10/2021 07.53,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,11,42,11,N15° 10.148' W92° 20.540',3428,25/10/2021 14:07,20/10/2021 07:55,20/10/2021 07.55,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,12,43,12,N15° 10.148' W92° 20.542',3427,25/10/2021 14:07,20/10/2021 07:58,20/10/2021 07.58,amarillo
Ger1,Irlanda,centro,20OCT,Homero,38,M,6,1,durante,13,44,13,N15° 10.148' W92° 20.542',3424,25/10/2021 14:07,20/10/2021 07:59,20/10/2021 07.59,amarillo
